epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
109,69,1,1,6,0,4,----,----,000,1,1,0,98,98
109,69,10,1,6,0,4,----,----,000,1,1,0,98,98
101,70,12,2,6,0,3,---,---,000,1,1,0,98,98
102,70,14,2,6,0,3,---,---,000,1,1,0,98,98
94,70,16,3,6,0,3,---,---,000,1,1,0,98,98
94,70,18,3,6,0,3,---,---,000,1,1,0,98,98
86,70,20,4,6,0,2,--,--,000,1,1,0,98,98
86,70,22,4,6,0,2,--,--,000,1,1,0,98,98
109,69,3,1,6,0,4,----,----,000,1,1,0,98,98
109,69,28,1,6,0,4,----,----,000,1,1,0,98,98
101,70,30,2,6,0,3,---,---,000,1,1,0,98,98
102,70,32,2,6,0,3,---,---,000,1,1,0,98,98
94,70,34,3,6,0,3,---,---,000,1,1,0,98,98
94,70,36,3,6,0,3,---,---,000,1,1,0,98,98
86,70,38,4,6,0,2,--,--,000,1,1,0,98,98
86,70,40,4,6,0,2,--,--,000,1,1,0,98,98
111,71,1,1,6,0,4,----,----,000,1,1,0,98,98
111,71,3,1,6,0,4,----,----,000,1,1,0,98,98
111,71,10,1,6,0,4,----,----,000,1,1,0,98,98
111,71,28,1,6,0,4,----,----,000,1,1,0,98,98
103,71,12,2,6,0,3,---,---,000,1,1,0,98,98
103,71,30,2,6,0,3,---,---,000,1,1,0,98,98
103,71,14,2,6,0,3,---,---,000,1,1,0,98,98
103,71,32,2,6,0,3,---,---,000,1,1,0,98,98
95,71,16,3,6,0,3,---,---,000,1,1,0,98,98
95,71,34,3,6,0,3,---,---,000,1,1,0,98,98
95,71,18,3,6,0,3,---,---,000,1,1,0,98,98
95,71,36,3,6,0,3,---,---,000,1,1,0,98,98
87,71,20,4,6,0,2,--,--,000,1,1,0,98,98
87,71,38,4,6,0,2,--,--,000,1,1,0,98,98
87,71,22,4,6,0,2,--,--,000,1,1,0,98,98
87,71,40,4,6,0,2,--,--,000,1,1,0,98,98
79,71,24,5,6,0,2,--,--,000,2,2,0,196,196
79,71,42,5,6,0,2,--,--,000,2,2,0,196,196
79,71,5,5,6,0,2,--,--,000,2,2,0,196,196
79,71,7,5,6,0,2,--,--,000,2,2,0,196,196
581,541,1,1,6,0,4,----,----,000,1,1,0,98,98
581,541,10,1,6,0,4,----,----,000,1,1,0,98,98
574,542,12,2,6,0,3,---,---,000,1,1,0,98,98
574,542,14,2,6,0,3,---,---,000,1,1,0,98,98
566,542,16,3,6,0,3,---,---,000,1,1,0,98,98
566,542,18,3,6,0,3,---,---,000,1,1,0,98,98
558,542,20,4,6,0,2,--,--,000,1,1,0,98,98
71,71,25,6,6,0,1,-,-,000,2,2,0,196,196
71,71,26,6,6,0,1,-,-,000,2,2,0,196,196
581,541,3,1,6,0,4,----,----,000,1,1,0,98,98
581,541,28,1,6,0,4,----,----,000,1,1,0,98,98
574,542,30,2,6,0,3,---,---,000,1,1,0,98,98
574,542,32,2,6,0,3,---,---,000,1,1,0,98,98
566,542,34,3,6,0,3,---,---,000,1,1,0,98,98
566,542,36,3,6,0,3,---,---,000,1,1,0,98,98
558,542,38,4,6,0,2,--,--,000,1,1,0,98,98
