epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
139,105,1,1,5,0,5,-----,-----,000,1,1,0,98,98
140,107,5,1,5,0,5,-----,-----,000,1,1,0,98,98
133,108,7,2,5,0,4,----,----,000,1,1,0,98,98
134,109,9,2,5,0,4,----,----,000,1,1,0,98,98
127,110,11,3,5,0,3,---,---,000,1,1,0,98,98
128,112,13,3,5,0,3,---,---,000,1,1,0,98,98
121,113,15,4,5,0,2,--,--,000,1,1,0,98,98
123,114,17,4,5,0,2,--,--,000,1,1,0,98,98
139,105,3,1,5,0,5,-----,-----,000,1,1,0,98,98
140,107,20,1,5,0,5,-----,-----,000,1,1,0,98,98
133,108,22,2,5,0,4,----,----,000,1,1,0,98,98
134,109,24,2,5,0,4,----,----,000,1,1,0,98,98
127,110,26,3,5,0,3,---,---,000,1,1,0,98,98
128,112,28,3,5,0,3,---,---,000,1,1,0,98,98
121,113,30,4,5,0,2,--,--,000,1,1,0,98,98
123,115,32,4,5,0,2,--,--,000,1,1,0,98,98
116,116,33,5,5,0,1,-,-,000,1,1,0,98,98
116,116,34,5,5,0,1,-,-,000,1,1,0,98,98
148,115,1,1,5,0,5,-----,-----,000,1,1,0,98,98
150,117,3,1,5,0,5,-----,-----,000,1,1,0,98,98
148,115,5,1,5,0,5,-----,-----,000,1,1,0,98,98
150,117,20,1,5,0,5,-----,-----,000,1,1,0,98,98
140,115,7,2,5,0,4,----,----,000,1,1,0,98,98
142,117,22,2,5,0,4,----,----,000,1,1,0,98,98
140,115,9,2,5,0,4,----,----,000,1,1,0,98,98
142,118,24,2,5,0,4,----,----,000,1,1,0,98,98
132,115,11,3,5,0,3,---,---,000,1,1,0,98,98
134,118,26,3,5,0,3,---,---,000,1,1,0,98,98
132,116,13,3,5,0,3,---,---,000,1,1,0,98,98
135,118,28,3,5,0,3,---,---,000,1,1,0,98,98
124,116,15,4,5,0,2,--,--,000,1,1,0,98,98
126,118,30,4,5,0,2,--,--,000,1,1,0,98,98
124,116,17,4,5,0,2,--,--,000,1,1,0,98,98
127,118,32,4,5,0,2,--,--,000,1,1,0,98,98
1305,1271,1,1,5,0,5,-----,-----,000,1,1,0,98,98
1306,1273,5,1,5,0,5,-----,-----,000,1,1,0,98,98
1300,1275,7,2,5,0,4,----,----,000,1,1,0,98,98
1301,1276,9,2,5,0,4,----,----,000,1,1,0,98,98
1295,1278,11,3,5,0,3,---,---,000,1,1,0,98,98
1296,1280,13,3,5,0,3,---,---,000,1,1,0,98,98
1290,1281,15,4,5,0,2,--,--,000,1,1,0,98,98
1291,1283,17,4,5,0,2,--,--,000,1,1,0,98,98
119,119,34,5,5,0,1,-,-,000,1,1,0,98,98
119,119,33,5,5,0,1,-,-,000,1,1,0,98,98
1305,1272,3,1,5,0,5,-----,-----,000,1,1,0,98,98
1307,1273,20,1,5,0,5,-----,-----,000,1,1,0,98,98
1300,1275,22,2,5,0,4,----,----,000,1,1,0,98,98
1301,1277,24,2,5,0,4,----,----,000,1,1,0,98,98
1295,1278,26,3,5,0,3,---,---,000,1,1,0,98,98
1296,1280,28,3,5,0,3,---,---,000,1,1,0,98,98
1290,1282,30,4,5,0,2,--,--,000,1,1,0,98,98
1291,1283,32,4,5,0,2,--,--,000,1,1,0,98,98
1285,1285,33,5,5,0,1,-,-,000,1,1,0,98,98
1285,1285,34,5,5,0,1,-,-,000,1,1,0,98,98
