epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
371,323,1,1,7,0,4,----,----,000,1,1,0,98,98
377,328,18,1,7,0,4,----,----,000,1,1,0,98,98
375,334,20,2,7,0,4,----,----,000,1,1,0,98,98
381,340,22,2,7,0,4,----,----,000,1,1,0,98,98
382,357,28,4,7,0,3,---,---,000,1,1,0,98,98
389,364,30,4,7,0,3,---,---,000,1,1,0,98,98
387,370,32,5,7,0,2,--,--,000,1,1,0,98,98
392,376,5,5,7,0,2,--,--,000,1,1,0,98,98
391,382,9,6,7,0,2,--,--,000,1,1,0,98,98
398,390,13,6,7,0,2,--,--,000,1,1,0,98,98
372,323,3,1,7,0,4,----,----,000,1,1,0,98,98
378,329,36,1,7,0,4,----,----,000,1,1,0,98,98
376,335,38,2,7,0,4,----,----,000,1,1,0,98,98
381,340,40,2,7,0,4,----,----,000,1,1,0,98,98
382,358,46,4,7,0,3,---,---,000,1,1,0,98,98
389,365,48,4,7,0,3,---,---,000,1,1,0,98,98
387,370,50,5,7,0,2,--,--,000,1,1,0,98,98
393,376,7,5,7,0,2,--,--,000,1,1,0,98,98
391,383,11,6,7,0,2,--,--,000,1,1,0,98,98
398,390,15,6,7,0,2,--,--,000,1,1,0,98,98
439,391,1,1,7,0,4,----,----,000,1,1,0,98,98
446,398,3,1,7,0,4,----,----,000,1,1,0,98,98
441,392,18,1,7,0,4,----,----,000,1,1,0,98,98
447,398,36,1,7,0,4,----,----,000,1,1,0,98,98
434,393,20,2,7,0,4,----,----,000,1,1,0,98,98
439,399,38,2,7,0,4,----,----,000,1,1,0,98,98
434,393,22,2,7,0,4,----,----,000,1,1,0,98,98
440,399,40,2,7,0,4,----,----,000,1,1,0,98,98
419,394,28,4,7,0,3,---,---,000,1,1,0,98,98
425,400,46,4,7,0,3,---,---,000,1,1,0,98,98
419,395,30,4,7,0,3,---,---,000,1,1,0,98,98
425,401,48,4,7,0,3,---,---,000,1,1,0,98,98
412,395,32,5,7,0,2,--,--,000,1,1,0,98,98
417,401,50,5,7,0,2,--,--,000,1,1,0,98,98
413,396,5,5,7,0,2,--,--,000,1,1,0,98,98
418,402,7,5,7,0,2,--,--,000,1,1,0,98,98
405,396,9,6,7,0,2,--,--,000,1,1,0,98,98
410,402,11,6,7,0,2,--,--,000,1,1,0,98,98
405,397,13,6,7,0,2,--,--,000,1,1,0,98,98
411,402,15,6,7,0,2,--,--,000,1,1,0,98,98
1620,1571,1,1,7,0,4,----,----,000,1,1,0,98,98
1626,1577,18,1,7,0,4,----,----,000,1,1,0,98,98
1624,1583,20,2,7,0,4,----,----,000,1,1,0,98,98
1630,1589,22,2,7,0,4,----,----,000,1,1,0,98,98
1635,1610,28,4,7,0,3,---,---,000,1,1,0,98,98
1641,1616,30,4,7,0,3,---,---,000,1,1,0,98,98
1639,1622,32,5,7,0,2,--,--,000,1,1,0,98,98
1646,1629,5,5,7,0,2,--,--,000,1,1,0,98,98
1643,1635,9,6,7,0,2,--,--,000,1,1,0,98,98
1650,1642,13,6,7,0,2,--,--,000,1,1,0,98,98
1620,1571,3,1,7,0,4,----,----,000,1,1,0,98,98
1626,1577,36,1,7,0,4,----,----,000,1,1,0,98,98
1624,1583,38,2,7,0,4,----,----,000,1,1,0,98,98
1631,1590,40,2,7,0,4,----,----,000,1,1,0,98,98
1636,1611,46,4,7,0,3,---,---,000,1,1,0,98,98
1641,1617,48,4,7,0,3,---,---,000,1,1,0,98,98
1639,1623,50,5,7,0,2,--,--,000,1,1,0,98,98
1646,1630,7,5,7,0,2,--,--,000,1,1,0,98,98
1644,1635,11,6,7,0,2,--,--,000,1,1,0,98,98
1651,1642,15,6,7,0,2,--,--,000,1,1,0,98,98
