epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
138,129,1,1,2,0,2,--,--,000,1,1,0,98,98
139,131,5,1,2,0,2,--,--,000,1,1,0,98,98
138,129,3,1,2,0,2,--,--,000,1,1,0,98,98
139,131,7,1,2,0,2,--,--,000,1,1,0,98,98
132,132,10,2,2,0,1,-,-,000,1,1,0,98,98
132,132,9,2,2,0,1,-,-,000,1,1,0,98,98
124,132,12,3,2,0,2,--,--,000,1,1,0,98,98
125,133,22,3,2,0,2,--,--,000,1,1,0,98,98
124,132,14,3,2,0,2,--,--,000,1,1,0,98,98
125,134,24,3,2,0,2,--,--,000,1,1,0,98,98
116,132,16,4,2,0,3,---,---,000,1,1,0,98,98
117,134,26,4,2,0,3,---,---,000,1,1,0,98,98
116,133,18,4,2,0,3,---,---,000,1,1,0,98,98
117,134,28,4,2,0,3,---,---,000,1,1,0,98,98
108,133,20,5,2,0,4,----,----,000,1,1,0,98,98
109,134,30,5,2,0,4,----,----,000,1,1,0,98,98
108,133,31,5,2,0,4,----,----,000,1,1,0,98,98
109,134,33,5,2,0,4,----,----,000,1,1,0,98,98
140,132,1,1,2,0,2,--,--,000,1,1,0,98,98
141,133,3,1,2,0,2,--,--,000,1,1,0,98,98
140,132,5,1,2,0,2,--,--,000,1,1,0,98,98
142,133,7,1,2,0,2,--,--,000,1,1,0,98,98
1304,1295,1,1,2,0,2,--,--,000,1,1,0,98,98
1305,1297,5,1,2,0,2,--,--,000,1,1,0,98,98
133,133,9,2,2,0,1,-,-,000,1,1,0,98,98
133,133,10,2,2,0,1,-,-,000,1,1,0,98,98
126,135,12,3,2,0,2,--,--,000,1,1,0,98,98
127,136,14,3,2,0,2,--,--,000,1,1,0,98,98
120,137,16,4,2,0,3,---,---,000,1,1,0,98,98
122,139,18,4,2,0,3,---,---,000,1,1,0,98,98
115,140,20,5,2,0,4,----,----,000,1,1,0,98,98
117,142,31,5,2,0,4,----,----,000,1,1,0,98,98
1304,1296,3,1,2,0,2,--,--,000,1,1,0,98,98
1305,1297,7,1,2,0,2,--,--,000,1,1,0,98,98
1299,1299,10,2,2,0,1,-,-,000,1,1,0,98,98
1299,1299,9,2,2,0,1,-,-,000,1,1,0,98,98
126,135,22,3,2,0,2,--,--,000,1,1,0,98,98
128,136,24,3,2,0,2,--,--,000,1,1,0,98,98
121,137,26,4,2,0,3,---,---,000,1,1,0,98,98
122,139,28,4,2,0,3,---,---,000,1,1,0,98,98
115,140,30,5,2,0,4,----,----,000,1,1,0,98,98
117,142,33,5,2,0,4,----,----,000,1,1,0,98,98
1291,1299,12,3,2,0,2,--,--,000,1,1,0,98,98
1292,1301,22,3,2,0,2,--,--,000,1,1,0,98,98
1291,1299,14,3,2,0,2,--,--,000,1,1,0,98,98
1292,1301,24,3,2,0,2,--,--,000,1,1,0,98,98
1283,1299,16,4,2,0,3,---,---,000,1,1,0,98,98
1284,1301,26,4,2,0,3,---,---,000,1,1,0,98,98
1283,1300,18,4,2,0,3,---,---,000,1,1,0,98,98
1284,1301,28,4,2,0,3,---,---,000,1,1,0,98,98
1275,1300,20,5,2,0,4,----,----,000,1,1,0,98,98
1276,1301,30,5,2,0,4,----,----,000,1,1,0,98,98
1275,1300,31,5,2,0,4,----,----,000,1,1,0,98,98
1277,1301,33,5,2,0,4,----,----,000,1,1,0,98,98
